tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on wlan1, link-type IEEE802_11_RADIO (802.11 plus radiotap header), snapshot length 262144 bytes
23:22:00.110248 393774610us tsft 1.0 Mb/s 2412 MHz 11b -51dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:00.127090 393791523us tsft 1.0 Mb/s 2412 MHz 11b -67dBm signal [bit 22] Beacon (AK110) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:00.148037 393812478us tsft 1.0 Mb/s 2412 MHz 11b -68dBm signal [bit 22] Beacon (Krystal_WiFi) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
23:22:00.212594 393877011us tsft 1.0 Mb/s 2412 MHz 11b -51dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:00.229603 393894024us tsft 1.0 Mb/s 2412 MHz 11b -67dBm signal [bit 22] Beacon (AK110) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:00.315005 393979421us tsft 1.0 Mb/s 2412 MHz 11b -51dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:00.331903 393996323us tsft 1.0 Mb/s 2412 MHz 11b -68dBm signal [bit 22] Beacon (AK110) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:00.352926 394017279us tsft 1.0 Mb/s 2412 MHz 11b -67dBm signal [bit 22] Beacon (Krystal_WiFi) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
23:22:00.417449 394081822us tsft 1.0 Mb/s 2412 MHz 11b -50dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:00.434453 394098871us tsft 1.0 Mb/s 2412 MHz 11b -68dBm signal [bit 22] Beacon (AK110) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:00.455262 394119680us tsft 1.0 Mb/s 2412 MHz 11b -68dBm signal [bit 22] Beacon (Krystal_WiFi) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
23:22:00.519790 394184205us tsft 1.0 Mb/s 2412 MHz 11b -52dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:00.557672 394222089us tsft 1.0 Mb/s 2412 MHz 11b -67dBm signal [bit 22] Beacon (Krystal_WiFi) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
23:22:00.622212 394286605us tsft 1.0 Mb/s 2412 MHz 11b -50dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:00.660068 394324483us tsft 1.0 Mb/s 2412 MHz 11b -68dBm signal [bit 22] Beacon (Krystal_WiFi) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
23:22:00.724589 394388997us tsft 1.0 Mb/s 2412 MHz 11b -51dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:00.826989 394491407us tsft 1.0 Mb/s 2412 MHz 11b -50dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:00.929479 394593808us tsft 1.0 Mb/s 2412 MHz 11b -50dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:00.946312 394610725us tsft 1.0 Mb/s 2412 MHz 11b -69dBm signal [bit 22] Beacon (AK110) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:00.967276 394631689us tsft 1.0 Mb/s 2412 MHz 11b -68dBm signal [bit 22] Beacon (Krystal_WiFi) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
23:22:01.031797 394696200us tsft 1.0 Mb/s 2412 MHz 11b -50dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
